edgeID,startNode,endNode
bHALL02901_bHALL03001,bHALL02901,bHALL03001
bHALL03001_bSTAI00301,bHALL03001,bSTAI00301
bDEPT00401_bHALL03101,bDEPT00401,bHALL03101
bDEPT00401_bHALL03201,bDEPT00401,bHALL03201
bHALL03201_bHALL03301,bHALL03201,bHALL03301
bHALL00101_bHALL00101,bHALL00101,bHALL00101
bHALL00101_bHALL00201,bHALL00101,bHALL00201
bHALL00201_bSTAI00101,bHALL00201,bSTAI00101
bHALL00301_bEXIT00101,bHALL00301,bEXIT00101
bHALL00201_bHALL00301,bHALL00201,bHALL00301
bHALL00301_bHALL00401,bHALL00301,bHALL00401
bRETL00101_bHALL00401,bRETL00101,bHALL00401
bHALL00401_bHALL00501,bHALL00401,bHALL00501
bHALL00501_bSERV00101,bHALL00501,bSERV00101
bHALL00601_bHALL00501,bHALL00601,bHALL00501
bELEV00L01_bHALL00601,bELEV00L01,bHALL00601
bHALL00701_bELEV00L01,bHALL00701,bELEV00L01
bHALL00801_bHALL00701,bHALL00801,bHALL00701
bHALL00901_bHALL00801,bHALL00901,bHALL00801
bHALL00901_bHALL01301,bHALL00901,bHALL01301
bHALL01001_bHALL01301,bHALL01001,bHALL01301
bSTAI00201_bHALL01001,bSTAI00201,bHALL01001
bHALL01101_bHALL00901,bHALL01101,bHALL00901
bDEPT00101_bHALL01301,bDEPT00101,bHALL01301
bHALL01201_bHALL01101,bHALL01201,bHALL01101
bHALL01401_bHALL01101,bHALL01401,bHALL01101
bHALL01401_bSERV00201,bHALL01401,bSERV00201
bHALL01501_bHALL01401,bHALL01501,bHALL01401
bHALL01601_bHALL01501,bHALL01601,bHALL01501
bDEPT00301_bHALL01701,bDEPT00301,bHALL01701
bHALL01701_bHALL01801,bHALL01701,bHALL01801
bHALL01801_bHALL00701,bHALL01801,bHALL00701
bHALL01801_bHALL03201,bHALL01801,bHALL03201
bHALL01901_bHALL01601,bHALL01901,bHALL01601
bDEPT00201_bHALL02001,bDEPT00201,bHALL02001
bSERV00301_bHALL02001,bSERV00301,bHALL02001
bHALL01901_bHALL02001,bHALL01901,bHALL02001
bHALL01901_bHALL02101,bHALL01901,bHALL02101
bDEPT00401_bHALL02101,bDEPT00401,bHALL02101
bHALL02201_bHALL02101,bHALL02201,bHALL02101
bHALL02201_bELEV00M01,bHALL02201,bELEV00M01
bELEV00M01_bHALL02301,bELEV00M01,bHALL02301
bLABS00101_bHALL02301,bLABS00101,bHALL02301
bHALL02301_bHALL02401,bHALL02301,bHALL02401
bHALL02401_bHALL02501,bHALL02401,bHALL02501
bSTAI00301_bHALL02501,bSTAI00301,bHALL02501
bHALL02601_bHALL03101,bHALL02601,bHALL03101
bHALL02501_bHALL02601,bHALL02501,bHALL02601
bHALL02701_bHALL02601,bHALL02701,bHALL02601
